Adult diabetes,Employment-based health insurance,Annual dental cleaning rate,Primary care provider rate,Routine checkup rate,Health care satisfaction rate,Eviction rate,Adult loneliness rate,Moderate or serious psychological distress rate,unmet mh trt mod to ser,unmet mh trt mod to ser,Hypertension rate,"Median household income, 2020-2024",Hardship Index,"Demographics, White",Ambulatory difficulty,population,diabetes ratio
5800.0,43.3479443304057,57.314498665,84.438171962,76.28250627,52.57635158,0.6912194538682278,38.417917309,45.588217603,65.747149948,46.24019033,32.895389396,71334.90396562577,76.07165815255526,39.876282608973604,9.082755943,78390.30822,0.07398873829813855
4800.0,42.525051557559124,56.938244527,63.998937672,72.955841096,36.767673154,0.5064709238091933,38.371545214,59.880648783,83.705943277,67.02740332,30.824558447,70459.88115335886,77.96793524573552,9.575500936480141,11.15734924,22644.71784,0.2119699628811979
1000.0,59.112983715366816,65.215341642,76.79007623,75.673676997,45.79014973,0.40417354147591145,38.927660846,62.388893785,78.08739498,66.3694725,24.270268037,91966.21809322323,41.348850715341776,38.03010902144037,3.0666349,35520.90178,0.028152438420441475
2900.0,68.6961061493943,68.783029341,76.037454609,65.9295662,48.542486759,0.22714497695648042,36.691001072,50.517383416,66.873937393,48.29505902,26.416264855,111832.89554093764,18.48488741807935,52.65145953693538,3.140103412,71426.58839,0.04060112719041767
7100.0,38.297672122869685,58.910937596,80.762224523,82.672355089,57.043917319,0.9408706110988063,39.048213571,50.922066291,84.673327717,75.8758823,35.307010609,58409.067092820536,82.76737663005562,12.249828708563777,8.413746171,55766.95533,0.12731553942627624
2500.0,75.08844034426173,74.683442203,75.450865549,71.557323464,43.375848507,0.2711564810763757,27.659037713,48.094020221,64.00684598,52.26585524,23.518420758,141145.37633519724,7.822825690390688,61.416807940150285,5.312146163,88181.67603,0.028350561165898947
15900.0,35.57427385858387,49.518625908,79.886673197,77.917394964,58.708035411,1.911662374005011,29.702619318,45.509849566,83.811460279,83.48748372,36.920544118,51826.85140200681,85.46915078802289,5.533700714364089,18.25870328,97671.1108,0.16279122731140272
4300.0,30.568471501794285,65.925477806,74.337808672,77.877196934,64.357635581,2.0855311542568384,32.647303411,55.129738019,75.040981647,72.17369753,38.521496596,43272.653887734705,91.05035177099343,1.3008708350257514,18.992559,15086.16255,0.2850294092847356
4100.0,33.043182004160556,61.489372112,78.921052197,67.509995399,47.692713931,1.3735074563304297,22.645822596,37.532659771,80.122888026,61.48692794,28.288812907,39861.333804728056,92.15091871348717,7.75690375063104,21.4323478,20739.82582,0.1976872918598118
2800.0,70.41383217425621,67.887545801,78.70489049,76.18556014,51.945995424,0.440881507008283,30.215843828,46.142755628,78.730016161,72.22960937,25.934483947,116881.23240702033,28.69022177702372,41.64264003879064,6.991910061,68097.6475,0.041117426266450686
5500.0,31.60572777227328,54.003841648,89.788126357,88.809461049,62.702366849,2.1897913624721697,28.259126092,40.191500548,83.453246717,98.47973524,39.503613189,47668.100820325926,87.84718517115365,3.9512614252968117,24.78510311,33979.92102,0.16186029381183065
4300.0,57.44104021827278,70.786913972,80.389393265,81.522328402,45.565018119,0.5097939379967249,46.5309199,61.441632395,60.111310413,60.39558333,39.197358613,73109.52685334624,35.40665771312865,51.59389339035574,12.71831426,54490.99263,0.07891212460006897
8500.0,40.26837872927695,59.737207706,71.832604219,70.629001393,48.583728894,0.5256745762343393,30.698417226,47.121833998,90.558343239,90.21595392,19.815571359,58666.08009178724,87.14971845215106,5.857043342927916,13.24481863,69830.03688,0.12172412302469345
2500.0,55.55596205074915,63.395954933,74.496752225,75.143678464,49.698895931,0.3207035247980545,30.757605395,56.69647463,74.760798287,29.81645327,28.233865636,76947.75654793243,66.07942865107157,21.653637517089425,10.23074601,33412.04159,0.07482332359924493
900.0,77.14215888075036,71.465563177,81.94656263,78.408808227,59.450981499,1.0125164945780984,28.839977218,44.317301269,73.313155516,51.20294942,29.276776933,122423.50649646156,4.347421491892502,42.51328841287,4.664630733,28903.9369,0.031137626791594607
1900.0,37.75646380437243,57.739329963,86.815496197,74.140283566,38.699175386,0.20639352481473852,37.635931448,55.030731708,85.627572869,68.26012328,32.559281027,45651.44933519941,87.71355007278783,13.57796305514789,15.31692461,13821.73562,0.1374646464262207
2300.0,45.14597884990372,46.354508209,83.90114361,83.62289102,69.728533706,1.5877236394118708,36.450566767,40.207999443,80.530323709,60.31212281,29.730404591,60402.6353356295,74.92314380013363,10.275290669676531,5.923928919,21090.85064,0.10905202636246064
600.0,45.54862576752261,57.089851099,82.716081794,83.276375838,60.157828602,1.969359955027393,23.454523089,43.196198634,75.705629214,,44.753557892,32240.587511620397,78.94747122365531,5.325818842990314,21.82357752,6940.063702,0.08645453784913976
