Adult diabetes,Employment-based health insurance,Annual dental cleaning rate,Primary care provider rate,Routine checkup rate,Health care satisfaction rate,Eviction rate,Adult loneliness rate,Moderate or serious psychological distress rate,unmet mh trt mod to ser,unmet mh trt mod to ser.1,Hypertension rate,"Median household income, 2020-2024",Hardship Index,"Demographics, White",Ambulatory difficulty,population,diabetes ratio
1300.0,67.11980891697104,81.438358406,91.842750587,81.740413493,73.491536975,0.8898550211788571,8.7430955823,28.303037367,66.271608748,,42.536637517,139311.02517710617,15.92976996167712,70.6717970991724,9.287716717,19886.37507,0.0653713909862407
15900.0,35.57427385858387,49.518625908,79.886673197,77.917394964,58.708035411,1.911662374005011,29.702619318,45.509849566,83.811460279,83.48748372,36.920544118,51826.85140200681,85.46915078802289,5.533700714364089,18.25870328,97671.1108,0.1627912273114027
5100.0,33.987479444149656,49.096730308,69.502285947,85.112724064,54.596951749,2.502221007092567,33.912501796,49.181306683,93.722268404,81.58407358,33.728516132,45124.71781639679,86.25358838963794,4.930347620910509,10.12168483,27507.14761,0.1854063559155052
8000.0,59.759854338696485,77.007201275,88.397949127,85.156456214,49.24927709,0.5047144973236669,20.905151801,45.796125765,78.445974918,54.07437885,40.385533743,88162.72773993322,47.142306756433015,51.58326008808807,9.558578278,41208.04599,0.1941368440993627
5800.0,43.64774683346578,62.661142055,84.941025823,84.027992762,57.565411987,0.6714146269470899,21.628986224,46.225306607,86.511367294,82.89118234,33.917857398,69578.52804161936,83.82045609652131,8.908328462683595,10.70539298,31827.03352,0.1822350171703969
6700.0,54.17690287186903,67.432480338,84.782465072,72.444896428,61.31943876,0.6273990663594018,25.152022299,45.329299581,74.406871409,71.64759806,37.389612954,92328.88122555522,46.91842828063879,46.43751774305677,10.39653887,63049.27293,0.106266094573979
3200.0,42.81930241400822,59.486618342,87.596656071,82.714173778,57.99631267,2.682393817235711,25.436724422,42.678539691,82.638076118,59.20337769,45.417409876,48332.46061953288,77.61276311075105,1.163842639258849,12.10256903,30021.41506,0.1065905785455004
3000.0,48.58374755684613,60.24167329,80.531381602,80.883611103,63.553600146,1.3743465371552055,33.557345042,43.623010172,76.839135187,,42.790210572,64755.74300878484,70.85325518988292,1.4642415460705465,23.84364813,24755.829,0.1211835806427649
4700.0,33.60978851437507,45.171489726,76.021672429,69.304365389,48.571513215,1.0738841114170117,31.754390162,48.899491737,75.145152601,56.74911357,24.538158966,57802.12297779982,86.88171534851527,8.217070995755853,10.47081147,39952.20609,0.1176405625614853
1200.0,12.0327084934991,60.49199617,81.167477065,90.942005138,49.260280312,3.50844909006515,40.600266063,43.580403934,85.07697605,45.23226201,27.816018835,16946.246214701485,99.34823816379952,0.5354308875652832,11.65233569,7483.432139,0.1603542302129239
